Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19500603.28.13,Summary,1950-06-03,01:00:00,CST,Mississippi,-,-,3,2,1,50,2,Attala,-,-,-,-,-,-,-,-,-,-,-,-,,33.08,-89.58,-,-,1,13,125,Unmodified
19500604.13.2,Summary,1950-06-04,06:00:00,CST,Georgia,-,-,0,0,0,200,2,Carroll,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.68,-84.93,-,-,1,2,126,Unmodified
19500604.13.3,Summary,1950-06-04,08:00:00,CST,Georgia,-,-,1,0,1,10,3,DeKalb,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.85,-84.25,33.85,-84.2,1,3,127,Unmodified
19500605.48.18,Summary,1950-06-05,15:55:00,CST,Texas,-,-,3,0,6,67,23,Washington,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,30.18,-96.4,30.02,-96.05,1,18,128,Unmodified
19500605.48.19,Summary,1950-06-05,16:00:00,CST,Texas,-,-,1,0,2,10,23,Austin,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,29.9,-96.4,29.72,-96.07,1,19,129,Unmodified
19500607.56.2,Summary,1950-06-07,15:30:00,CST,Wyoming,-,-,1,0,0,10,0,Niobrara,-,-,-,-,-,-,-,-,-,-,-,<$50,,43.08,-104.5,-,-,1,2,130,Unmodified
19500607.13.4,Summary,1950-06-07,17:30:00,CST,Georgia,-,-,1,0,0,300,2,Lamar,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.03,-84.15,-,-,1,4,131,Unmodified
19500608.20.18,Summary,1950-06-08,20:10:00,CST,Kansas,-,-,4,1,5,700,17,Rice,McPherson,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,38.33,-97.93,38.33,-97.6,1,18,132,Unmodified
19500609.29.3,Summary,1950-06-09,13:00:00,CST,Missouri,-,-,1,0,0,220,2,Pulaski,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,38,-92.22,38.02,-92.17,1,3,133,Unmodified
19500609.40.20,Summary,1950-06-09,18:25:00,CST,Oklahoma,-,-,1,0,0,100,0,Kay,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,36.8,-97.25,-,-,1,20,134,Unmodified
