Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19990101.48.74,Summary,1999-01-01,13:00:00,CST,Texas,-,-,1,0,7,0,2,Walker,-,-,-,-,-,-,-,-,-,-,-,$120000,,30.75,-95.53,30.77,-95.5,1,74,731,Unmodified
19990101.48.75,Summary,1999-01-01,13:23:00,CST,Texas,-,-,0,0,1,0,0,Walker,-,-,-,-,-,-,-,-,-,-,-,$10000,,30.85,-95.42,30.85,-95.42,1,75,732,Unmodified
19990101.48.76,Summary,1999-01-01,13:41:00,CST,Texas,-,-,2,0,0,500,5,Trinity,-,-,-,-,-,-,-,-,-,-,-,$750000,,30.83,-95.38,30.77,-95.38,1,76,733,Unmodified
19990101.48.80,Summary,1999-01-01,13:53:00,CST,Texas,-,-,0,0,0,0,0,Walker,-,-,-,-,-,-,-,-,-,-,-,$10000,,30.72,-95.37,30.72,-95.37,1,80,737,Unmodified
19990101.48.77,Summary,1999-01-01,14:08:00,CST,Texas,-,-,0,0,0,50,0,Trinity,-,-,-,-,-,-,-,-,-,-,-,$40000,,31.07,-95.15,31.07,-95.15,1,77,734,Unmodified
19990101.48.1,Summary,1999-01-01,19:15:00,CST,Texas,-,-,0,0,0,20,0,Wilson,-,-,-,-,-,-,-,-,-,-,-,-,,29.23,-97.93,29.23,-97.93,1,1,11,Unmodified
19990101.48.2,Summary,1999-01-01,19:21:00,CST,Texas,-,-,0,0,0,30,0,Guadalupe,-,-,-,-,-,-,-,-,-,-,-,-,,29.42,-97.97,29.42,-97.97,1,2,12,Unmodified
19990101.48.3,Summary,1999-01-01,20:05:00,CST,Texas,-,-,0,0,0,30,0,Gonzales,-,-,-,-,-,-,-,-,-,-,-,-,,29.4,-97.72,29.4,-97.72,1,3,13,Unmodified
19990101.48.4,Summary,1999-01-01,21:45:00,CST,Texas,-,-,0,0,0,30,0,Lavaca,-,-,-,-,-,-,-,-,-,-,-,-,,29.43,-97.08,29.43,-97.08,1,4,14,Unmodified
19990101.48.5,Summary,1999-01-01,21:58:00,CST,Texas,-,-,1,0,0,50,5,Panola,-,-,-,-,-,-,-,-,-,-,-,$10000,,32.23,-94.23,32.25,-94.15,1,5,34,Unmodified
19990101.22.3,Summary,1999-01-01,22:26:00,CST,Louisiana,-,-,2,0,1,0,3,Caddo,-,-,-,-,-,-,-,-,-,-,-,$1000000,,32.38,-93.8,32.37,-93.73,1,3,35,Unmodified
19990101.48.78,Summary,1999-01-01,22:33:00,CST,Texas,-,-,1,0,0,0,8,Montgomery,-,-,-,-,-,-,-,-,-,-,-,$70000,,30.1,-95.23,30.23,-95.08,1,78,735,Unmodified
19990101.22.4,Summary,1999-01-01,22:36:00,CST,Louisiana,-,-,1,0,0,0,1,Bossier,-,-,-,-,-,-,-,-,-,-,-,$10000,,32.42,-93.62,32.43,-93.62,1,4,36,Unmodified
19990101.22.5,Summary,1999-01-01,23:02:00,CST,Louisiana,-,-,2,0,0,50,7,Bossier,Webster,-,-,-,-,-,-,-,-,-,-,$150000,,32.48,-93.47,32.53,-93.32,1,5,38,Unmodified
19990101.48.79,Summary,1999-01-01,23:40:00,CST,Texas,-,-,2,0,0,100,4,Liberty,-,-,-,-,-,-,-,-,-,-,-,$180000,,29.97,-94.42,30.03,-94.43,1,79,736,Unmodified
19990101.48.9,Summary,1999-01-01,23:45:00,CST,Texas,-,-,3,0,5,400,5,Jefferson,-,-,-,-,-,-,-,-,-,-,-,$500000,,30,-94.45,30.05,-94.4,1,9,51,Unmodified
